,Player,Matches,Win%,SPW%,RPW%,TPW%,DomRatio
0,Adrian Mannarino,0.8366445916114791,0.5054195804195805,0.5236651844709317,0.6100894757282991,0.5431362862736098,0.4683367539316976
1,Albert Ramos,0.8233995584988962,0.41628787878787876,0.28219530486709354,0.7178581032574758,0.45158080440547277,0.3627361876428066
2,Alejandro Davidovich Fokina,0.2163355408388521,0.42848484848484847,0.32752725416309536,0.7697028448272178,0.5249426581467276,0.4262781897726893
3,Alejandro Tabilo,0.030905077262693148,0.5025078369905956,0.2855671677785532,0.8713749717798607,0.5830740334407007,0.4599407005198881
4,Alex De Minaur,0.5011037527593818,0.6661290322580645,0.4066476043585765,0.8469801618512636,0.6566749794472608,0.5346640443233435
5,Alex Molcan,0.05739514348785872,0.5308203991130821,0.3815770258246505,0.6794583075429454,0.5104973513960145,0.40734059850837157
6,Alexander Bublik,0.3465783664459161,0.5617132867132868,0.518244037459219,0.555556651693794,0.5384279859485455,0.42667985525634666
7,Alexander Zverev,0.9646799116997793,0.7974431818181819,0.6793386689106238,0.7574760460933769,0.781120044218043,0.7105869689765962
8,Alexei Popyrin,0.16997792494481237,0.038181818181818206,0.4152198606598416,0.3498363760390124,0.32076711205051023,0.21626329738918781
9,Andrey Rublev,0.7196467991169977,0.787741046831956,0.6403989696861649,0.726276416953415,0.7231288439964061,0.6506285722238161
10,Andy Murray,0.6026490066225165,0.5818181818181818,0.5002885543901319,0.708977771787114,0.6165530062085542,0.5172004991926924
11,Arthur Rinderknech,0.13024282560706402,0.5504545454545455,0.6099565428508051,0.30874979725967555,0.456566808023247,0.3239613597096571
12,Aslan Karatsev,0.17880794701986755,0.2776859504132232,0.2841798091429326,0.6459547502266234,0.4196168185202369,0.3196199741606185
13,Benjamin Bonzi,0.05518763796909493,0.4772727272727273,0.6134397351130674,0.5982765880332279,0.6322805399974527,0.5341661091844634
14,Benoit Paire,0.739514348785872,0.0,0.10141872439799071,0.45472765225615386,0.15911609903697688,0.09924365016364867
15,Bernabe Zapata Miralles,0.046357615894039736,0.16363636363636364,0.0,0.5968893923758449,0.19306962044157405,0.12710232556299594
16,Borna Coric,0.6269315673289184,0.6236363636363637,0.6178674789666228,0.4692127240874513,0.5497016842550293,0.4452530840758899
17,Botic Van De Zandschulp,0.15452538631346577,0.539291217257319,0.3982392530252161,0.7235560036348037,0.5520800807277899,0.44800328877692275
18,Brandon Nakashima,0.152317880794702,0.6236363636363637,0.7044146341284185,0.5371696604344993,0.6550896820977714,0.5701455431752016
19,Cameron Norrie,0.509933774834437,0.7355614973262032,0.5218854600550307,0.7712048729003336,0.6806194639855505,0.5775173322408329
20,Carlos Alcaraz,0.2052980132450331,0.9691505216095381,0.6043949742066199,0.9582327849978503,0.8563523515604166,0.783355465548442
21,Casper Ruud,0.45695364238410596,0.7137062937062937,0.7117576715254113,0.5990985948700953,0.7216622288536279,0.6235314725525491
22,Christopher Oconnell,0.0,0.23333333333333334,0.45930192219884036,0.4833492091296818,0.44562466118430777,0.3342411108136736
23,Corentin Moutet,0.1434878587196468,0.543801652892562,0.3213726446121812,0.7205033184808316,0.4897352757641089,0.3910352865463307
24,Cristian Garin,0.3200883002207506,0.33882063882063884,0.13286014228697862,0.7040684258755661,0.32749205626495836,0.26071595645569934
25,Daniel Altmaier,0.022075055187637964,0.038181818181818206,0.2685936137074596,0.3064109354467177,0.17417726439096448,0.1010174860431654
26,Daniel Elahi Galan,0.0684326710816777,0.4772727272727273,0.2865946760202944,0.7141081225079537,0.4839510368598203,0.36336363929940085
27,Daniel Evans,0.4392935982339956,0.5054195804195805,0.5047989181491253,0.6827930598179892,0.6028346686781454,0.5030161728826987
28,Daniil Medvedev,0.7549668874172186,0.7873651771956857,0.6943278294035671,0.8001413456036766,0.8451984650786111,0.7571715405424775
29,David Goffin,0.8609271523178808,0.4772727272727273,0.33052493440695807,0.7818598572542437,0.5450071038321846,0.4360687748294956
30,Denis Kudla,0.293598233995585,0.16363636363636364,0.32644086600093436,0.38858127977091317,0.28681295958938513,0.1856894628204382
31,Denis Shapovalov,0.6048565121412803,0.6079545454545455,0.6984280238547185,0.5085174144568338,0.626373097502424,0.5432439564973015
32,Diego Schwartzman,0.8454746136865343,0.5358181818181819,0.135592436368154,1.0000000000000002,0.5462377972296757,0.4345376666330296
33,Dominic Thiem,0.8962472406181015,0.5230113636363637,0.4427419640603567,0.6106457170193542,0.49952580410832503,0.406857335149001
34,Dusan Lajovic,0.6512141280353201,0.19968652037617557,0.3214480236861985,0.5353806706432283,0.35582501214336926,0.2748471396355836
35,Elias Ymer,0.0022075055187637943,0.56875,0.49662449560821686,0.6367944942427333,0.5866589774757269,0.46527642667647684
36,Emil Ruusuvuori,0.19205298013245034,0.5260606060606061,0.4360575044260333,0.8181437163243912,0.6296947287885271,0.5389118310104299
37,Fabio Fognini,0.7991169977924946,0.42097902097902107,0.1966201571189905,0.6457811125559656,0.3694202578358947,0.26450427104900087
38,Facundo Bagnis,0.1280353200883002,0.2577272727272727,0.30577260316294685,0.616297666406419,0.43722613544494937,0.3153131110557814
39,Federico Coria,0.11037527593818985,0.4315340909090909,0.21468269704577558,0.8167358510276366,0.45786430999058236,0.3782139545412475
40,Federico Delbonis,0.5452538631346577,0.18454545454545457,0.19849471703141397,0.49541416022456075,0.26959670280688375,0.17591500085898004
41,Felix Auger Aliassime,0.5055187637969094,0.7276315789473684,0.6900308369137709,0.6317055566229255,0.7109943213593564,0.6274348141362218
42,Fernando Verdasco,0.5916114790286975,0.20284090909090913,0.2484078254748563,0.5513500987920577,0.32246481967356644,0.23905115513136366
43,Filip Krajinovic,0.36423841059602646,0.4994490358126722,0.36534340458775505,0.558589890359481,0.4416521108112015,0.3184408520089361
44,Frances Tiafoe,0.5298013245033113,0.6236363636363637,0.5164985379711964,0.5576661526696991,0.5479890349605725,0.42677826533938057
45,Francisco Cerundolo,0.05518763796909493,0.5138636363636364,0.28668251800826594,0.846665004789988,0.5488169938538618,0.4454438532388254
46,Gael Monfils,0.6644591611479029,0.8239234449760765,0.6249799181883966,0.8642124166046699,0.8131547017206238,0.7358690841369906
47,Grigor Dimitrov,0.8013245033112584,0.5469696969696971,0.623970702400539,0.5885925070000682,0.6017543268442118,0.5362863432883314
48,Holger Rune,0.13024282560706402,0.5856902356902357,0.5602755167999338,0.6396198495359953,0.6049366544831143,0.5185116007240336
49,Hubert Hurkacz,0.4216335540838852,0.7043887147335423,0.8281047570721207,0.45782017065940006,0.7002529775171649,0.6277409431467842
50,Hugo Gaston,0.05739514348785872,0.19090909090909097,0.15672032785462298,0.5860507403653383,0.3019753142052082,0.2056568291223877
51,Ilya Ivashka,0.23620309050772625,0.4951219512195122,0.406493528920854,0.5753862226490922,0.49836649549133316,0.35760921992573125
52,J J Wolf,0.028697571743929354,0.5295454545454545,0.3755061428741371,0.6181078644696181,0.4708241445770307,0.36356888151044586
